raw_affiliation,status,institution_id,institution_name,institution_type,country_code,lineage,score,matched_via,candidate
"1st Networks Solution Division, NEC Corporation, Tokyo, Japan",auto,https://openalex.org/I4210107353,NEC (United States),company,US,https://openalex.org/I118347220|https://openalex.org/I4210107353,0.950,nec corporation of america,NEC Corporation
2Hong Kong University of Science and Technology,unmatched,,Georgia Institute of Technology,education,US,https://openalex.org/I130701444,0.488,Georgia Institute of Technology,Technology
2pi Software,unmatched,,,,,,0.000,,
"3M, 3M Center, Saint Paul, MN, USA",auto,https://openalex.org/I2801795740,Hospital de Sant Pau,healthcare,ES,https://openalex.org/I2801795740,0.950,hospital of the holy cross and saint paul,Saint Paul
"3PSystem s.r.l, Fiesso d’Artico, VE, Italy",unmatched,,,,,,0.000,,
"44th Research Institute of China Electronics Technology Group Corporation, Chongqing, China",unmatched,,,,,,0.000,,
"5000 Thayer Ctr Ste C, FinQ Tech Inc., Oakland, MD, USA",unmatched,,Kaiser Permanente Oakland Medical Center,healthcare,US,https://openalex.org/I1343052199|https://openalex.org/I2801936213,0.667,Kaiser Oakland,Oakland
"5000 Thayer Ctr Ste C, FinQ Tech Inc., Oakland, MD, United States",unmatched,,Kaiser Permanente Oakland Medical Center,healthcare,US,https://openalex.org/I1343052199|https://openalex.org/I2801936213,0.667,Kaiser Oakland,Oakland
"53rd Research Institute of China Electronics Technology Group Corporation, Tianjin, China",unmatched,,,company,,,0.850,ti,Tianjin
"54th Research Institute of CETC, Shijiazhuang, China",unmatched,,,,,,0.000,,
A*STAR,auto,https://openalex.org/I115228651,"Agency for Science, Technology and Research",government,SG,https://openalex.org/I115228651,1.000,A*STAR,A*STAR
"ACCESS, AI Chip Center for Emerging Smart Systems, InnoHK Centers, Hong Kong, China",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,Access,ACCESS
"ACCESS, AI Chip Center for Emerging Smart Systems, InnoHK Centers, Hong Kong, Hong Kong",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,Access,ACCESS
"ACX Instruments Ltd,Cambridge,United Kingdom",manual,,,company,GB,,0.720,Cambridge School,Cambridge
"ADVA Optical Networking North America Inc., Norcross, GA, USA",unmatched,,,company,,,0.850,norc,Norcross
"ADVA Optical Networking SE, Meiningen, Germany",unmatched,,,,,,0.000,,
"ADVA Optical Networking SE, Munich/ Martinsried, Germany",unmatched,,,,,,0.000,,
"ADVA Optical Networking SE, Munich/Martinsried, Germany",unmatched,,,,,,0.000,,
"ADVA Optical Networking, Munich, Germany",auto,https://openalex.org/I1338984714,ADVA Optical Networking (Germany),company,DE,https://openalex.org/I1338984714,0.950,adva optical networking (germany),ADVA Optical Networking
"ADVA optical networking, York, U.K.",auto,https://openalex.org/I1338984714,ADVA Optical Networking (Germany),company,DE,https://openalex.org/I1338984714,0.950,adva optical networking (germany),ADVA optical networking
"AEPONYX Inc, Montreal, QC, Canada",auto,https://openalex.org/I4210164768,Active Ethernet Passive Optical Networks Over λ MultipleXing (Canada),company,CA,https://openalex.org/I4210164768,1.000,AEPONYX,AEPONYX
"AI Chip Center for Emerging Smart Systems (ACCESS), Hong kong, Hong Kong",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,Access,ACCESS
"AI Chip Center for Emerging Smart Systems,China",unmatched,,,,,,0.000,,
"AIO Core Company Ltd., Tokyo, Japan",unmatched,,,company,,,0.850,tokyo metropolitan children's medical center,Tokyo
"AIOPTICS Technology Company Ltd., Shanghai, China",unmatched,,,company,,,0.850,shanghai institute for science of science,Shanghai
"AIT Austrian Institute of Technology, Center for Digital Safety & Security, Vienna, Austria",unmatched,,,company,,,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Digital Safety and Security, Giefinggasse 4, Vienna, Austria",unmatched,,,company,,,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Digital Safety and Security, Vienna, Austria",unmatched,,,company,,,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria",unmatched,,,company,,,0.850,vienna hospital association,Vienna
AMD,unmatched,,,,,,0.000,,
AMD Research,unmatched,,,,,,0.000,,
"AMD Research, Logic Drive, Citywest Business Campus, Dublin, Ireland",unmatched,,,company,,,0.850,dublin museum of science and art,Dublin
"AMD, Austin, TX, USA",manual,,,company,US,,0.800,UT Austin,Austin
"AMD, Inc",unmatched,,,,,,0.000,,
"AMD, Santa Clara, CA, USA",auto,https://openalex.org/I16269868,Santa Clara University,education,US,https://openalex.org/I16269868,0.970,Santa Clara University,Santa Clara
"AMD,USA",unmatched,,,,,,0.000,,
AMOLF,auto,https://openalex.org/I2803035111,Institute for Atomic and Molecular Physics,facility,NL,https://openalex.org/I2800991832|https://openalex.org/I2803035111|https://openalex.org/I4405262988,1.000,AMOLF,AMOLF
"AMS-OSRAM, Plymouth, MN, USA",unmatched,,,company,,,0.850,plymouth city council,Plymouth
ARCNL,auto,https://openalex.org/I4210145651,Advanced Research Center for Nanolithography (Netherlands),company,NL,https://openalex.org/I2800991832|https://openalex.org/I4210092504|https://openalex.org/I4210145651|https://openalex.org/I4405262988|https://openalex.org/I865915315|https://openalex.org/I887064364|https://openalex.org/I927257375,1.000,ARCNL,ARCNL
ASML Netherlands B.V.,unmatched,,,,,,0.000,,
"ASML Netherlands B.V.,Veldhoven,The Netherlands",auto,https://openalex.org/I927257375,ASML (Netherlands),company,NL,https://openalex.org/I4210092504|https://openalex.org/I927257375,1.000,ASML (Netherlands),ASML Netherlands
"ASU,Tempe,AZ,USA",unmatched,,Tempe Union High School District,education,US,https://openalex.org/I4210141726,0.270,Tempe Union High School District,Tempe
"ASUSTeK Computer Inc.,Taipei,Taiwan,112019",auto,https://openalex.org/I3020783763,Asus (Taiwan),company,TW,https://openalex.org/I3020783763,0.970,ASUSTeK Computer Inc,ASUSTeK Computer
"AT&T Labs, San Ramon, CA, USA",unmatched,,,,,,0.000,,
AWE PLC,unmatched,,,company,,,0.850,awe,AWE PLC
AWS Center for Quantum Computing,unmatched,,,,,,0.000,,
Aarhus University,auto,https://openalex.org/I204337017,Aarhus University,education,DK,https://openalex.org/I204337017,1.000,Aarhus University,Aarhus University
"Aarhus University,Department of Computer Science,Aarhus,Denmark",auto,https://openalex.org/I204337017,Aarhus University,education,DK,https://openalex.org/I204337017,1.000,Aarhus University,Aarhus University
"Acacia Communication Inc., Holmdel, NJ, USA",unmatched,,,company,,,0.850,ho,Holmdel
Academia Sinica,auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academia Sinica, Taipei, Taiwan",auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academia Sinica,Taipei,Taiwan,R.O.C.",auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academy for Advanced Interdisciplinary Studies; School of Integrated Circuits, Peking University, Beijing, China",auto,https://openalex.org/I20231570,Peking University,education,CN,https://openalex.org/I20231570,1.000,Peking University,Peking University
"Academy of Marine Information Technology, Guilin University of Electronic Technology, Beihai, China",auto,https://openalex.org/I5343935,Guilin University of Electronic Technology,education,CN,https://openalex.org/I5343935,1.000,Guilin University of Electronic Technology,Guilin University of Electronic Technology
"Academy of Ocean Science and Engineering, National University of Defense Technology, Changsha, China",auto,https://openalex.org/I170215575,National University of Defense Technology,education,CN,https://openalex.org/I170215575,1.000,National University of Defense Technology,National University of Defense Technology
"Academy of Technology, Hooghly, West Bengal, India",auto,https://openalex.org/I179760745,Mahaveer Academy of Technology and Science University,education,IN,https://openalex.org/I179760745,0.950,mahaveer academy of technology and science university,Academy of Technology
"Accelink Technologies Company Ltd., Wuhan, China",unmatched,,,company,,,0.850,wuhan science and technology bureau,Wuhan
"Access Network Service Systems Laboratories, NTT Corporation, Tsukuba, Japan",unmatched,,,company,,,0.850,tsu,Tsukuba
"Access Network Service Systems Laboratories, Nippon Telegraph and Telephone (NTT) Corporation, Tsukuba, Ibaraki, Japan",auto,https://openalex.org/I4210092597,NTT (United States),company,US,https://openalex.org/I2251713219|https://openalex.org/I4210092597,1.000,Nippon Telegraph and Telephone,Nippon Telegraph and Telephone
"Access Network Service Systems Laboratories, Nippon Telegraph and Telephone (NTT) Corporation, Tsukuba, Japan",auto,https://openalex.org/I4210092597,NTT (United States),company,US,https://openalex.org/I2251713219|https://openalex.org/I4210092597,1.000,Nippon Telegraph and Telephone,Nippon Telegraph and Telephone
"Access Network Service Systems Laboratories, Nippon Telegraph and Telephone Corporation, Tsukuba, Japan",auto,https://openalex.org/I4210092597,NTT (United States),company,US,https://openalex.org/I2251713219|https://openalex.org/I4210092597,1.000,Nippon Telegraph and Telephone,Nippon Telegraph and Telephone
"Access Network Service Systems Laboratories, Tsukuba, Japan",unmatched,,,company,,,0.850,tsu,Tsukuba
Adam Mickiewicz University,auto,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,education,PL,https://openalex.org/I59411706,0.950,adam mickiewicz university in poznań,Adam Mickiewicz University
Adam Mickiewicz University in Poznań,auto,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,education,PL,https://openalex.org/I59411706,1.000,Adam Mickiewicz University in Poznań,Adam Mickiewicz University in Poznań
"Advance Micro Foundry Pte. Ltd., Singapore",unmatched,,,,,,0.000,,
Advanced Biomedical Imaging Facility,unmatched,,,,,,0.000,,
"Advanced Electronics and Photonics Research Center, National Research Council Canada, Ottawa, ON, Canada",auto,https://openalex.org/I4210159778,National Research Council Canada,government,CA,https://openalex.org/I4210159778,1.000,National Research Council Canada,National Research Council Canada
"Advanced Electronics and Photonics Research Center, National Research Council of Canada, Ottawa, ON, Canada",auto,https://openalex.org/I4210159778,National Research Council Canada,government,CA,https://openalex.org/I4210159778,1.000,National Research Council of Canada,National Research Council of Canada
