raw_affiliation,status,institution_id,institution_name,institution_type,country_code,lineage,score,matched_via,candidate
"13121010307, beijing, beijing, China",review,https://openalex.org/I4210087417,Beijing Geriatric Hospital,healthcare,CN,https://openalex.org/I4210087417,0.850,beijing geriatric hospital,beijing
"1st Networks Solution Division, NEC Corporation, Tokyo, Japan",auto,https://openalex.org/I4210107353,NEC (United States),company,US,https://openalex.org/I118347220|https://openalex.org/I4210107353,0.950,nec corporation of america,NEC Corporation
"23rd Research Institute of China Electronics Technology Group Corporation, Shanghai, China",review,https://openalex.org/I4210085920,Shanghai Institute for Science of Science,facility,CN,https://openalex.org/I4210085920,0.850,shanghai institute for science of science,Shanghai
2Hong Kong University of Science and Technology,unmatched,,,,,,0.000,,
"34th Research Institute, CETC, Guilin, China",auto,https://openalex.org/I2800372957,China Electronics Technology Group Corporation,company,CN,https://openalex.org/I2800372957,1.000,CETC,CETC
"3M, 3M Center, Saint Paul, MN, USA",auto,https://openalex.org/I2801795740,Hospital de Sant Pau,healthcare,ES,https://openalex.org/I2801795740,0.950,hospital of the holy cross and saint paul,Saint Paul
"3PSystem s.r.l, Fiesso d’Artico, VE, Italy",unmatched,,,,,,0.000,,
"44th Research Institute of China Electronics Technology Group Corporation, Chongqing, China",unmatched,,,,,,0.000,,
"5000 Thayer Ctr Ste C, FinQ Tech Inc., Oakland, MD, USA",review,https://openalex.org/I2799440964,Laney College,education,US,https://openalex.org/I2799440964|https://openalex.org/I4210142450,0.850,oakland city college,Oakland
"5000 Thayer Ctr Ste C, FinQ Tech Inc., Oakland, MD, United States",review,https://openalex.org/I2799440964,Laney College,education,US,https://openalex.org/I2799440964|https://openalex.org/I4210142450,0.850,oakland city college,Oakland
"53rd Research Institute of China Electronics Technology Group Corporation, Tianjin, China",review,https://openalex.org/I198488067,Tinbergen Institute,education,NL,https://openalex.org/I198488067,0.850,ti,Tianjin
"54th Research Institute of CETC, Shijiazhuang, China",unmatched,,,,,,0.000,,
"54th Research Institute, China Electronics Technology Group Corporation, Shijiazhuang, China",auto,https://openalex.org/I2800372957,China Electronics Technology Group Corporation,company,CN,https://openalex.org/I2800372957,0.950,china electronics technology group corporation,China Electronics Technology Group
58th DAC General Chair,unmatched,,,,,,0.000,,
A Siemens Business,unmatched,,,,,,0.000,,
"A Siemens Business, Fremont, USA",review,https://openalex.org/I4210101785,Fremont Memorial Hospital,healthcare,US,https://openalex.org/I4210101785,0.850,fremont memorial hospital,Fremont
"A Siemens Business, Grenoble, France",review,https://openalex.org/I4210124956,GIPSA-Lab,facility,FR,https://openalex.org/I106785703|https://openalex.org/I1294671590|https://openalex.org/I4210124956|https://openalex.org/I899635006|https://openalex.org/I899635006,0.850,grenoble images parole signal automatique,Grenoble
"A. V. Gaponov-Grekhov Institute of Applied Physics of the Russian Academy of Sciences, Nizhny Novgorod, Russia",auto,https://openalex.org/I4210133012,Nizhny Novgorod State University of Engineering and Economics,education,RU,https://openalex.org/I4210133012,0.950,nizhny novgorod state university of engineering and economics,Nizhny Novgorod
"ACCESS – AI Chip Center for Emerging Smart Systems, InnoHK Centers, Hong Kong Science Park,Hong Kong,China",unmatched,,,,,,0.000,,
"ACCESS, AI Chip Center for Emerging Smart Systems, InnoHK Centers, Hong Kong, China",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,ACCESS,ACCESS
"ACCESS, AI Chip Center for Emerging Smart Systems, InnoHK Centers, Hong Kong, Hong Kong",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,ACCESS,ACCESS
"ACCO semiconductor, Louveciennes, France",unmatched,,,,,,0.000,,
"ACST GmbH, Hanau, Germany",review,https://openalex.org/I2800944796,Highways England,government,GB,https://openalex.org/I2800944796|https://openalex.org/I2802373619|https://openalex.org/I3144123604,0.850,ha,Hanau
"ACX Instruments Ltd,Cambridge,United Kingdom",unmatched,,,,,,0.000,,
"ADTRAN Networks SE, Meiningen, Germany",unmatched,,,,,,0.000,,
"ADTRAN Optical Networking SE, Munich, Germany",review,https://openalex.org/I19008122,Mangalore University,education,IN,https://openalex.org/I19008122,0.850,mu,Munich
"ADVA Optical Networking North America Inc., Norcross, GA, USA",review,https://openalex.org/I4210117923,National Opinion Research Center,funder,US,https://openalex.org/I4210117923,0.850,norc,Norcross
"ADVA Optical Networking SE, Meiningen, Germany",unmatched,,,,,,0.000,,
"ADVA Optical Networking SE, Munich, Germany",review,https://openalex.org/I19008122,Mangalore University,education,IN,https://openalex.org/I19008122,0.850,mu,Munich
"ADVA Optical Networking SE, Munich/ Martinsried, Germany",unmatched,,,,,,0.000,,
"ADVA Optical Networking SE, Munich/Martinsried, Germany",unmatched,,,,,,0.000,,
"ADVA Optical Networking, Munich, Germany",auto,https://openalex.org/I1338984714,ADVA Optical Networking (Germany),company,DE,https://openalex.org/I1338984714,0.950,adva optical networking (germany),ADVA Optical Networking
"ADVA optical networking, York, U.K.",auto,https://openalex.org/I1338984714,ADVA Optical Networking (Germany),company,DE,https://openalex.org/I1338984714,0.950,adva optical networking (germany),ADVA optical networking
"AECC Hunan Aviation Powerplant Research Institute, Zhuzhou, China",review,https://openalex.org/I4210137423,Zhuzhou Central Hospital,healthcare,CN,https://openalex.org/I4210137423,0.850,zhuzhou central hospital,Zhuzhou
"AEPONYX Inc, Montreal, QC, Canada",auto,https://openalex.org/I4210164768,Active Ethernet Passive Optical Networks Over λ MultipleXing (Canada),company,CA,https://openalex.org/I4210164768,1.000,AEPONYX,AEPONYX
"AI Chip Center for Emerging Smart System (ACCESS), Hong Kong, Hong Kong, China",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,ACCESS,ACCESS
"AI Chip Center for Emerging Smart Systems (ACCESS), Hong kong, Hong Kong",auto,https://openalex.org/I4210160970,Access to Wholistic and Productive Living Institute,nonprofit,US,https://openalex.org/I4210160970,1.000,ACCESS,ACCESS
"AI Chip Center for Emerging Smart Systems,China",unmatched,,,,,,0.000,,
AI Institute,auto,https://openalex.org/I4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions,facility,US,https://openalex.org/I121934306|https://openalex.org/I12912129|https://openalex.org/I136199984|https://openalex.org/I4210160315|https://openalex.org/I63966007,0.950,the nsf ai institute for artificial intelligence and fundamental interactions,AI Institute
"AIM Photonics, RF SUNY Polytechnic Institute, Albany, NY, USA",review,https://openalex.org/I77920804,Albany Medical Center Hospital,healthcare,US,https://openalex.org/I4405259726|https://openalex.org/I77920804,0.850,albany medical center hospital,Albany
"AIO Core Company Ltd., Tokyo, Japan",review,https://openalex.org/I4210144200,Tokyo Metropolitan Children's Medical Center,healthcare,JP,https://openalex.org/I4210144200,0.850,tokyo metropolitan children's medical center,Tokyo
"AIOPTICS Technology Company Ltd., Shanghai, China",review,https://openalex.org/I4210085920,Shanghai Institute for Science of Science,facility,CN,https://openalex.org/I4210085920,0.850,shanghai institute for science of science,Shanghai
"AIT Austrian Institute of Technology, Center for Digital Safety & Security, Vienna, Austria",review,https://openalex.org/I4210117134,Wiener Krankenanstaltenverbund,healthcare,AT,https://openalex.org/I4210117134,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Digital Safety and Security, Giefinggasse 4, Vienna, Austria",review,https://openalex.org/I4210117134,Wiener Krankenanstaltenverbund,healthcare,AT,https://openalex.org/I4210117134,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Digital Safety and Security, Vienna, Austria",review,https://openalex.org/I4210117134,Wiener Krankenanstaltenverbund,healthcare,AT,https://openalex.org/I4210117134,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria",review,https://openalex.org/I4210117134,Wiener Krankenanstaltenverbund,healthcare,AT,https://openalex.org/I4210117134,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology, Center for Health & Bioresources, Vienna, Austria",auto,https://openalex.org/I4210094012,National Center for Global Health and Medicine,healthcare,JP,https://openalex.org/I4210094012,0.950,national center for global health and medicine,Center for Health
"AIT Austrian Institute of Technology, Vienna, Vienna, Austria",review,https://openalex.org/I4210117134,Wiener Krankenanstaltenverbund,healthcare,AT,https://openalex.org/I4210117134,0.850,vienna hospital association,Vienna
"AIT Austrian Institute of Technology,Vienna,Austria",review,https://openalex.org/I4210117134,Wiener Krankenanstaltenverbund,healthcare,AT,https://openalex.org/I4210117134,0.850,vienna hospital association,Vienna
"ALaRI - USI, Lugano, Switzerland",review,https://openalex.org/I4210154343,Leman University,education,CH,https://openalex.org/I4210154343,0.850,lug,Lugano
"ALaRI - USI, Lugano, Switzerland and Politecnico di Milano, Italy",auto,https://openalex.org/I93860229,Politecnico di Milano,education,IT,https://openalex.org/I93860229,1.000,Politecnico di Milano,Politecnico di Milano
AMD,unmatched,,,,,,0.000,,
AMD Inc.,review,https://openalex.org/I4210102456,Accelerated Medical Diagnostics (United States),company,US,https://openalex.org/I4210102456,0.850,amd,AMD Inc
"AMD Research, Advanced Micro Devices, Inc.",auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"AMD Research, Logic Drive, Citywest Business Campus, Dublin, Ireland",review,https://openalex.org/I1339929178,National Museum of Ireland,archive,IE,https://openalex.org/I1339929178,0.850,dublin museum of science and art,Dublin
"AMD, Austin, TX, USA",review,https://openalex.org/I152100410,Aletheia University,education,TW,https://openalex.org/I152100410,0.850,au,Austin
"AMD, Inc",unmatched,,,,,,0.000,,
"AMD, Santa Clara, CA, USA",auto,https://openalex.org/I4210136303,Kaiser Permanente Santa Clara Medical Center,healthcare,US,https://openalex.org/I1343052199|https://openalex.org/I4210136303,0.950,kaiser permanente santa clara medical center,Santa Clara
"AMD,USA",unmatched,,,,,,0.000,,
"AMS-OSRAM, Plymouth, MN, USA",review,https://openalex.org/I4210096019,Plymouth City Council,government,GB,https://openalex.org/I4210096019,0.850,plymouth city council,Plymouth
