work_key,venue,year,title,n_authors,type,editorial_sim,research_sim,margin
doi:10.1126/scirobotics.abk2787,scirobotics,2021,From individual robots to robot societies,2,article,0.7001,0.2251,0.4751
doi:10.1126/scirobotics.abe2987,scirobotics,2020,Understanding robots,1,article,0.7222,0.2696,0.4527
doi:10.1126/scirobotics.adx2410,scirobotics,2025,Robotics in Africa is trending upward and has a bright future,1,article,0.7012,0.251,0.4503
doi:10.1126/scirobotics.abn2720,scirobotics,2021,Five years of Science Robotics,7,editorial,0.7374,0.3062,0.4312
doi:10.1126/scirobotics.adh1824,scirobotics,2023,The beehive of the future is a robot socially interacting with honeybees,1,article,0.5691,0.1441,0.4251
doi:10.1126/scirobotics.aea7390,scirobotics,2025,"Good old-fashioned engineering can close the 100,000-year “data gap” in robotics",1,editorial,0.5951,0.1779,0.4172
doi:10.1126/scirobotics.aal2099,scirobotics,2016,Science for robotics and robotics for science,10,editorial,0.6228,0.2193,0.4035
doi:10.1126/scirobotics.abf1364,scirobotics,2020,Robots are not immune to bias and injustice,2,editorial,0.5334,0.1486,0.3848
doi:10.1126/scirobotics.adq6387,scirobotics,2024,Ironies of social robotics,1,article,0.5842,0.2204,0.3638
doi:10.1126/scirobotics.adh1236,scirobotics,2023,M3GAN : The real horror is the lack of ethics in robotics,2,article,0.5472,0.1881,0.3591
doi:10.1126/scirobotics.abd5186,scirobotics,2021,Persuasive robots should avoid authority: The effects of formal and real authority on persuasion in human-robot interaction,2,article,0.4793,0.1206,0.3587
doi:10.1126/scirobotics.adu0391,scirobotics,2024,Overcoming the challenges that women in robotics face,1,article,0.5314,0.1784,0.353
doi:10.1126/scirobotics.aat7451,scirobotics,2018,"Robots for the people, by the people: Personalizing human-machine interaction",2,article,0.4817,0.1294,0.3524
doi:10.1126/scirobotics.adt0684,scirobotics,2025,The robot will see you now: Foundation models are the path forward for autonomous robotic surgery,1,article,0.5638,0.2199,0.3439
doi:10.1126/scirobotics.abh3168,scirobotics,2021,Tiny robots make big advances,2,editorial,0.598,0.2581,0.3399
doi:10.1126/scirobotics.adu2915,scirobotics,2024,Black in Robotics: Improving community and equity in the field of robotics,2,article,0.5606,0.2219,0.3386
doi:10.1126/scirobotics.abf1502,scirobotics,2020,Robots learn to identify objects by feeling,1,article,0.546,0.2229,0.3231
doi:10.1126/scirobotics.adu2844,scirobotics,2024,The cold truth about robotics research in the United Kingdom as a Caribbean woman,1,article,0.531,0.2142,0.3168
doi:10.1126/scirobotics.aam5410,scirobotics,2017,Socially assistive robotics: Human augmentation versus automation,1,article,0.4641,0.1499,0.3142
doi:10.1126/scirobotics.aei1219,scirobotics,2026,Acceptance of humanoid robots: A psychological perspective,1,article,0.3968,0.084,0.3128
doi:10.1126/scirobotics.aat5999,scirobotics,2018,Reading socially: Transforming the in-home reading experience with a learning-companion robot,2,article,0.4255,0.1219,0.3036
doi:10.1126/scirobotics.aei2397,scirobotics,2026,Beyond imitation: Robots that learn to work in the real world,1,article,0.6266,0.3282,0.2985
doi:10.1126/scirobotics.adu6123,scirobotics,2025,How can educational robots enhance family life? Through careful integration,2,article,0.4597,0.1615,0.2982
doi:10.1126/scirobotics.abb5589,scirobotics,2020,Combating COVID-19—The role of robotics in managing public health and infectious diseases,13,editorial,0.4795,0.1866,0.2929
doi:10.1126/scirobotics.aat5217,scirobotics,2018,Robots for the PyeongChang 2018 Winter Olympic Games,2,article,0.5383,0.2466,0.2917
doi:10.1126/scirobotics.abf4317,scirobotics,2021,Collaborating robots sample the primary production in the ocean,1,article,0.5107,0.2438,0.2669
doi:10.1126/scirobotics.abe6818,scirobotics,2020,Analog-digital computing let robots go through the motions,1,article,0.5204,0.2579,0.2626
doi:10.1126/scirobotics.aba6149,scirobotics,2020,Metal or muscle? The future of biologically inspired robots,1,article,0.5585,0.2997,0.2588
doi:10.1126/scirobotics.aan3674,scirobotics,2017,Robots on construction sites: The potential and challenges of on-site digital fabrication,2,article,0.4922,0.234,0.2582
doi:10.1126/scirobotics.adl0014,scirobotics,2023,Assistive robotics should seamlessly integrate humans and robots,2,editorial,0.4574,0.201,0.2564
