duplicate_id,canonical_id,canonical_name,country,credit_moved,reason,decided_on
https://openalex.org/I8618152,https://openalex.org/I86519309,The University of Texas at Austin,US,227.8,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I123021657,https://openalex.org/I93860229,Politecnico di Milano,IT,108.8,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I61561971,https://openalex.org/I162577319,The University of Texas at Dallas,US,96.4,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I41316267,https://openalex.org/I162827531,Indian Institute of Technology Bombay,IN,84.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I78784900,https://openalex.org/I24676775,Indian Institute of Technology Madras,IN,54.4,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I30401643,https://openalex.org/I145894827,Indian Institute of Technology Kharagpur,IN,46.6,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I12875819,https://openalex.org/I94234084,Indian Institute of Technology Kanpur,IN,42.7,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I168164651,https://openalex.org/I4577782,Technische Universität Berlin,DE,42.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I73295861,https://openalex.org/I68891433,Indian Institute of Technology Delhi,IN,33.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I75885583,https://openalex.org/I189196454,The University of Texas at Arlington,US,29.6,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I186189362,https://openalex.org/I62916508,Technical University of Munich,DE,28.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I161976081,https://openalex.org/I31512782,Technische Universität Darmstadt,DE,24.9,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I96815566,https://openalex.org/I65181880,Indian Institute of Technology Hyderabad,IN,24.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I45159170,https://openalex.org/I154851008,Indian Institute of Technology Roorkee,IN,21.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I60986386,https://openalex.org/I1317621060,Indian Institute of Technology Guwahati,IN,18.7,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I221098338,https://openalex.org/I56404289,Indian Institute of Technology BHU,IN,17.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I131987676,https://openalex.org/I145847075,TU Wien,AT,14.4,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I79636420,https://openalex.org/I78650965,Technische Universität Dresden,DE,13.8,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I61619893,https://openalex.org/I45438204,The University of Texas at San Antonio,US,10.6,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I37042786,https://openalex.org/I119449181,Technische Universität Ilmenau,DE,9.7,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210096097,https://openalex.org/I154549908,Indian Institute of Technology Jodhpur,IN,9.6,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210157303,https://openalex.org/I27674431,Indian Institute of Technology Gandhinagar,IN,8.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I19370852,https://openalex.org/I191208505,Xiamen University,CN,7.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I203650698,https://openalex.org/I189109744,Indian Institute of Technology Dhanbad,IN,6.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I174935819,https://openalex.org/I51783024,Brandenburg University of Technology Cottbus-Senftenberg,DE,4.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I98834328,https://openalex.org/I4210151615,Wuyi University,CN,4.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I95384979,https://openalex.org/I164936912,The University of Texas at El Paso,US,2.3,"duplicate OpenAlex record, same institution and country",2026-07-25
I4210150387,https://openalex.org/I4210116924,"Chinese University of Hong Kong, Shenzhen",CN,2.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I125044677,https://openalex.org/I119241673,Indian Institute of Technology Ropar,IN,2.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I42456776,https://openalex.org/I204778367,Norwegian University of Science and Technology,NO,1.8,"duplicate OpenAlex record, same institution and country",2026-07-25
I129467270,https://openalex.org/I32021983,Christian-Albrechts-Universität zu Kiel,DE,1.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I12584989,https://openalex.org/I121883995,Johannes Kepler University of Linz,AT,1.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I7148132,https://openalex.org/I45129253,University College London,GB,1.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I135232074,https://openalex.org/I130238516,University of Minnesota,US,1.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I209353064,https://openalex.org/I147009085,Technical University of Liberec,CZ,1.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210150621,https://openalex.org/I3131982239,Institut Catholique d'Arts et Métiers,FR,0.9,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I74322897,https://openalex.org/I227486990,University of Szeged,HU,0.8,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I19429393,https://openalex.org/I29770179,Budapest University of Technology and Economics,HU,0.7,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I133769559,https://openalex.org/I129862065,Government Medical College,IN,0.7,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I138391447,https://openalex.org/I884043246,Hamburg University of Technology,DE,0.6,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I41154196,https://openalex.org/I106157433,University of Kassel,DE,0.5,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210097016,https://openalex.org/I188963388,International Institute of Information Technology,IN,0.5,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I77127694,https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,0.4,"duplicate OpenAlex record, same institution and country",2026-07-25
I84892839,https://openalex.org/I44504214,Czech Technical University in Prague,CZ,0.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I112355423,https://openalex.org/I12356871,Télécom Paris,FR,0.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I98720382,https://openalex.org/I4210131129,American School of Classical Studies at Athens,US,0.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I100653242,https://openalex.org/I131740757,Texas A&M International University,US,0.3,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I150972724,https://openalex.org/I1174212,University of Southern California,US,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I114748460,https://openalex.org/I102335020,Karlsruhe Institute of Technology,DE,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I54635425,https://openalex.org/I4577782,Technische Universität Berlin,DE,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I1312495809,https://openalex.org/I106785703,Institut polytechnique de Grenoble,FR,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I46121591,https://openalex.org/I2802326326,The University of Texas Rio Grande Valley,US,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I88458102,https://openalex.org/I89440247,Myongji University,KR,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I180771373,https://openalex.org/I129862065,Government Medical College,IN,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210164371,https://openalex.org/I129862065,Government Medical College,IN,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210089978,https://openalex.org/I193291145,Schiller International University,FR,0.2,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I27641155,https://openalex.org/I3045169105,Southern University of Science and Technology,CN,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
I38189715,https://openalex.org/I124055696,University of Copenhagen,DK,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I124076374,https://openalex.org/I11923345,Wrocław University of Science and Technology,PL,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I42381343,https://openalex.org/I82509713,Mälardalen University,SE,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210106093,https://openalex.org/I36353753,Central University,GH,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210089425,https://openalex.org/I129862065,Government Medical College,IN,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210112706,https://openalex.org/I3131982239,Institut Catholique d'Arts et Métiers,FR,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I7715029,https://openalex.org/I4210107971,Royal Academy of Music,DK,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210146715,https://openalex.org/I4210154014,National Institute of Pharmaceutical Education and Research,IN,0.1,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210104136,https://openalex.org/I129862065,Government Medical College,IN,0.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210131067,https://openalex.org/I57629906,Nile University,EG,0.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I215989355,https://openalex.org/I194120229,Xavier University,US,0.0,"duplicate OpenAlex record, same institution and country",2026-07-25
https://openalex.org/I4210091566,https://openalex.org/I192664086,Northeastern State University,US,0.0,"duplicate OpenAlex record, same institution and country",2026-07-25
