verdict,credit_at_stake,canonical_id,canonical_name,canonical_country,duplicate_id,duplicate_name,duplicate_country,group_total
MERGE,227.8,https://openalex.org/I86519309,The University of Texas at Austin,US,https://openalex.org/I8618152,University of Texas at Austin,US,1845.5
MERGE,108.8,https://openalex.org/I93860229,Politecnico di Milano,IT,https://openalex.org/I123021657,Politecnico di Milano,IT,687.7
MERGE,96.4,https://openalex.org/I162577319,The University of Texas at Dallas,US,https://openalex.org/I61561971,University of Texas at Dallas,US,565.8
MERGE,84.2,https://openalex.org/I162827531,Indian Institute of Technology Bombay,IN,https://openalex.org/I41316267,Indian Institute of Technology Bombay,IN,578.9
MERGE,54.4,https://openalex.org/I24676775,Indian Institute of Technology Madras,IN,https://openalex.org/I78784900,Indian Institute of Technology Madras,IN,377.5
MERGE,46.6,https://openalex.org/I145894827,Indian Institute of Technology Kharagpur,IN,https://openalex.org/I30401643,Indian Institute of Technology Kharagpur,IN,370.1
MERGE,42.7,https://openalex.org/I94234084,Indian Institute of Technology Kanpur,IN,https://openalex.org/I12875819,Indian Institute of Technology Kanpur,IN,464.1
MERGE,42.3,https://openalex.org/I4577782,Technische Universität Berlin,DE,https://openalex.org/I168164651,Technische Universität Berlin,DE,468.9
MERGE,33.0,https://openalex.org/I68891433,Indian Institute of Technology Delhi,IN,https://openalex.org/I73295861,Indian Institute of Technology Delhi,IN,500.6
MERGE,29.6,https://openalex.org/I189196454,The University of Texas at Arlington,US,https://openalex.org/I75885583,University of Texas at Arlington,US,152.2
"MERGE (trivial, <2% on secondary)",28.0,https://openalex.org/I62916508,Technical University of Munich,DE,https://openalex.org/I186189362,Technical University of Munich,DE,1775.4
MERGE,24.9,https://openalex.org/I31512782,Technische Universität Darmstadt,DE,https://openalex.org/I161976081,Technische Universität Darmstadt,DE,455.4
MERGE,24.1,https://openalex.org/I65181880,Indian Institute of Technology Hyderabad,IN,https://openalex.org/I96815566,Indian Institute of Technology Hyderabad,IN,131.0
MERGE,21.3,https://openalex.org/I154851008,Indian Institute of Technology Roorkee,IN,https://openalex.org/I45159170,Indian Institute of Technology Roorkee,IN,203.2
MERGE,18.7,https://openalex.org/I1317621060,Indian Institute of Technology Guwahati,IN,https://openalex.org/I60986386,Indian Institute of Technology Guwahati,IN,134.6
MERGE,17.1,https://openalex.org/I56404289,Indian Institute of Technology BHU,IN,https://openalex.org/I221098338,Indian Institute of Technology BHU,IN,68.1
MERGE,14.4,https://openalex.org/I145847075,TU Wien,AT,https://openalex.org/I131987676,TU Wien,AT,449.3
MERGE,13.8,https://openalex.org/I78650965,Technische Universität Dresden,DE,https://openalex.org/I79636420,Technische Universität Dresden,DE,503.5
MERGE,10.6,https://openalex.org/I45438204,The University of Texas at San Antonio,US,https://openalex.org/I61619893,University of Texas at San Antonio,US,101.4
MERGE,9.7,https://openalex.org/I119449181,Technische Universität Ilmenau,DE,https://openalex.org/I37042786,Technische Universität Ilmenau,,100.3
MERGE,9.6,https://openalex.org/I154549908,Indian Institute of Technology Jodhpur,IN,https://openalex.org/I4210096097,Indian Institute of Technology Jodhpur,IN,68.3
MERGE,8.0,https://openalex.org/I27674431,Indian Institute of Technology Gandhinagar,IN,https://openalex.org/I4210157303,Indian Institute of Technology Gandhinagar,IN,59.7
"MERGE (trivial, <2% on secondary)",7.2,https://openalex.org/I191208505,Xiamen University,CN,https://openalex.org/I19370852,Xiamen University,CN,1028.9
MERGE,6.2,https://openalex.org/I189109744,Indian Institute of Technology Dhanbad,IN,https://openalex.org/I203650698,Indian Institute of Technology Dhanbad,IN,52.5
MERGE,4.1,https://openalex.org/I51783024,Brandenburg University of Technology Cottbus-Senftenberg,DE,https://openalex.org/I174935819,Brandenburg University of Technology Cottbus-Senftenberg,,31.4
MERGE,4.0,https://openalex.org/I4210151615,Wuyi University,CN,https://openalex.org/I98834328,Wuyi University,CN,11.0
MERGE,2.3,https://openalex.org/I164936912,The University of Texas at El Paso,US,https://openalex.org/I95384979,University of Texas at El Paso,US,14.5
"MERGE (trivial, <2% on secondary)",2.0,https://openalex.org/I4210116924,"Chinese University of Hong Kong, Shenzhen",CN,I4210150387,"Chinese University of Hong Kong, Shenzhen",CN,470.1
MERGE,2.0,https://openalex.org/I119241673,Indian Institute of Technology Ropar,IN,https://openalex.org/I125044677,Indian Institute of Technology Ropar,IN,62.9
"MERGE (trivial, <2% on secondary)",1.8,https://openalex.org/I204778367,Norwegian University of Science and Technology,NO,https://openalex.org/I42456776,Norwegian University of Science and Technology,,390.2
"MERGE (trivial, <2% on secondary)",1.3,https://openalex.org/I32021983,Christian-Albrechts-Universität zu Kiel,DE,I129467270,Christian-Albrechts-Universität zu Kiel,,273.9
"MERGE (trivial, <2% on secondary)",1.2,https://openalex.org/I121883995,Johannes Kepler University of Linz,AT,https://openalex.org/I12584989,Johannes Kepler University of Linz,AT,160.9
"MERGE (trivial, <2% on secondary)",1.0,https://openalex.org/I45129253,University College London,GB,https://openalex.org/I7148132,University College London,GB,1359.7
"MERGE (trivial, <2% on secondary)",1.0,https://openalex.org/I130238516,University of Minnesota,US,https://openalex.org/I135232074,University of Minnesota,US,1207.2
MERGE,1.0,https://openalex.org/I147009085,Technical University of Liberec,CZ,https://openalex.org/I209353064,Technical University of Liberec,,13.2
MERGE,0.9,https://openalex.org/I3131982239,Institut Catholique d'Arts et Métiers,FR,https://openalex.org/I4210150621,Institut Catholique d'Arts et Métiers,FR,2.6
MERGE,0.8,https://openalex.org/I227486990,University of Szeged,HU,https://openalex.org/I74322897,University of Szeged,,24.9
"MERGE (trivial, <2% on secondary)",0.7,https://openalex.org/I29770179,Budapest University of Technology and Economics,HU,https://openalex.org/I19429393,Budapest University of Technology and Economics,,84.5
MERGE,0.7,https://openalex.org/I129862065,Government Medical College,IN,https://openalex.org/I133769559,Government Medical College,IN,2.3
"MERGE (trivial, <2% on secondary)",0.6,https://openalex.org/I884043246,Hamburg University of Technology,DE,https://openalex.org/I138391447,Hamburg University of Technology,,80.1
"MERGE (trivial, <2% on secondary)",0.5,https://openalex.org/I106157433,University of Kassel,DE,https://openalex.org/I41154196,University of Kassel,,51.2
MERGE,0.5,https://openalex.org/I188963388,International Institute of Information Technology,IN,https://openalex.org/I4210097016,International Institute of Information Technology,IN,14.9
"MERGE (trivial, <2% on secondary)",0.4,https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,https://openalex.org/I77127694,Shanghai Jiao Tong University,CN,4384.6
"MERGE (trivial, <2% on secondary)",0.3,https://openalex.org/I44504214,Czech Technical University in Prague,CZ,I84892839,Czech Technical University in Prague,,287.7
"MERGE (trivial, <2% on secondary)",0.3,https://openalex.org/I12356871,Télécom Paris,FR,https://openalex.org/I112355423,Télécom Paris,FR,94.2
MERGE,0.3,https://openalex.org/I4210131129,American School of Classical Studies at Athens,US,https://openalex.org/I98720382,American School of Classical Studies at Athens,,1.7
MERGE,0.3,https://openalex.org/I131740757,Texas A&M International University,US,https://openalex.org/I100653242,Texas A&M International University,US,1.4
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I1174212,University of Southern California,US,https://openalex.org/I150972724,University of Southern California,US,1445.2
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I102335020,Karlsruhe Institute of Technology,DE,https://openalex.org/I114748460,Karlsruhe Institute of Technology,DE,667.5
MERGE,0.2,https://openalex.org/I4577782,Technische Universität Berlin,DE,https://openalex.org/I54635425,Technische Universität Berlin,DE,468.9
