institution_id,institution_name,area,year,pub_count,adjusted_count
https://openalex.org/I99065089,Tsinghua University,image,2025,464,203.37608
https://openalex.org/I76130692,Zhejiang University,image,2025,327,156.93304
https://openalex.org/I183067930,Shanghai Jiao Tong University,image,2025,353,153.18955
https://openalex.org/I99065089,Tsinghua University,image,2023,310,152.81073
https://openalex.org/I126520041,University of Science and Technology of China,image,2025,263,144.85328
https://openalex.org/I76569877,Southeast University,comms,2025,261,141.12249
https://openalex.org/I20231570,Peking University,image,2025,310,139.47132
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2025,167,125.92422
https://openalex.org/I76130692,Zhejiang University,image,2023,244,124.4833
https://openalex.org/I99065089,Tsinghua University,image,2024,218,113.76101
https://openalex.org/I126520041,University of Science and Technology of China,image,2023,164,105.57711
https://openalex.org/I20231570,Peking University,image,2023,200,104.71748
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2024,134,103.34195
https://openalex.org/I183067930,Shanghai Jiao Tong University,image,2023,184,103.26751
https://openalex.org/I76569877,Southeast University,comms,2024,182,101.13294
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2023,143,100.54116
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2022,145,99.71865
https://openalex.org/I172675005,Nanyang Technological University,image,2025,300,99.60168
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2021,127,95.74217
https://openalex.org/I204983213,Harbin Institute of Technology,powerelec,2025,131,95.37922
https://openalex.org/I47720641,Huazhong University of Science and Technology,powerelec,2024,120,95.25784
https://openalex.org/I200769079,Hong Kong University of Science and Technology,image,2025,244,93.27483
https://openalex.org/I99065089,Tsinghua University,image,2022,181,91.53891
https://openalex.org/I37461747,Wuhan University,image,2025,175,91.49226
https://openalex.org/I99065089,Tsinghua University,sigproc,2026,170,91.25553
https://openalex.org/I157773358,Sun Yat-sen University,image,2025,217,91.14337
https://openalex.org/I47720641,Huazhong University of Science and Technology,powerelec,2025,118,90.99524
https://openalex.org/I150229711,University of Electronic Science and Technology of China,devices,2025,113,89.54441
https://openalex.org/I172675005,Nanyang Technological University,image,2023,182,89.3528
https://openalex.org/I76569877,Southeast University,comms,2026,179,89.08286
https://openalex.org/I139759216,Beijing University of Posts and Telecommunications,comms,2025,140,87.9129
https://openalex.org/I20231570,Peking University,image,2024,163,86.3269
https://openalex.org/I149594827,Xidian University,image,2025,133,85.99661
https://openalex.org/I183067930,Shanghai Jiao Tong University,sigproc,2026,140,84.3824
https://openalex.org/I150229711,University of Electronic Science and Technology of China,devices,2023,110,84.13451
https://openalex.org/I87445476,Xi'an Jiaotong University,powerelec,2025,115,84.02922
https://openalex.org/I204983213,Harbin Institute of Technology,image,2025,187,83.54098
https://openalex.org/I157485424,Korea Advanced Institute of Science and Technology,image,2025,118,81.42143
https://openalex.org/I24943067,Fudan University,image,2025,170,80.93981
https://openalex.org/I165932596,National University of Singapore,image,2025,187,80.73153
https://openalex.org/I891191580,Aalborg University,powerelec,2020,159,80.58413
https://openalex.org/I204983213,Harbin Institute of Technology,powerelec,2024,110,78.56944
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2020,121,78.42103
https://openalex.org/I183067930,Shanghai Jiao Tong University,sigproc,2025,117,78.07937
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,2019,111,78.05635
https://openalex.org/I87445476,Xi'an Jiaotong University,powerelec,2024,101,77.36885
https://openalex.org/I76130692,Zhejiang University,image,2024,157,77.09337
https://openalex.org/I150229711,University of Electronic Science and Technology of China,devices,2022,100,77.02287
https://openalex.org/I170215575,National University of Defense Technology,sigproc,2026,102,74.65159
https://openalex.org/I87445476,Xi'an Jiaotong University,powerelec,2023,94,74.58571
https://openalex.org/I183067930,Shanghai Jiao Tong University,image,2024,144,74.34413
https://openalex.org/I47720641,Huazhong University of Science and Technology,image,2025,126,74.29188
https://openalex.org/I76130692,Zhejiang University,powerelec,2025,116,72.94405
https://openalex.org/I149594827,Xidian University,em_rf,2025,113,72.37864
https://openalex.org/I76569877,Southeast University,comms,2023,135,71.88822
https://openalex.org/I76130692,Zhejiang University,powerelec,2024,112,71.74875
https://openalex.org/I150229711,University of Electronic Science and Technology of China,sigproc,2026,100,70.69405
https://openalex.org/I149594827,Xidian University,devices,2024,96,70.48871
